ACC_X,ACC_Y,ACC_Z,PPG
23736,30032,35584,13077
22272,29852,35540,13062
21460,30076,35460,13055
23484,30688,34568,13055
24240,30612,34348,13056
23904,30580,34180,13064
23176,30336,34080,13070
23368,30468,33816,13083
24624,30664,33596,13093
25500,30888,33428,13110
25848,31108,33336,13129
26096,31184,33280,13154
26064,31052,33456,13182
25700,30908,33696,13207
24780,30904,34052,13231
24768,30952,34080,13229
23460,30696,34580,13208
24100,30592,34876,13183
25816,30616,35752,13172
25220,30564,36284,13177
24140,31072,34860,13207
23852,30964,34940,13231
24516,30444,35580,13251
24864,30292,35652,13261
25156,29952,35708,13271
25224,29796,35628,13285
25372,29788,35596,13296
25828,29880,35656,13315
25136,29724,35868,13337
24076,29804,35868,13360
23300,30056,35684,13385
21924,29548,35940,13392
21820,30196,35504,13384
22980,30300,34888,13363
22636,30548,34608,13347
22544,31004,34260,13346
22232,30912,34692,13355
23240,31504,34176,13374
24396,31208,33792,13390
25520,31112,33372,13405
26224,31076,33200,13416
26548,31096,33232,13430
26456,31024,33396,13447
26032,30908,33504,13462
25652,30792,33700,13483
25156,30336,34020,13498
23920,30204,34348,13514
23988,30464,35532,13517
25000,30932,37716,13514
24708,31176,36772,13534
23096,31092,35648,13554
22804,30000,36208,13555
23772,29484,36896,13558
24700,29772,36664,13556
25088,29872,36320,13562
25284,29616,35684,13571
25788,29652,35488,13575
26132,29920,35268,13581
25200,29884,34984,13592
23760,29732,34888,13603
22396,29996,34732,13613
20364,29464,34964,13625
20388,30096,34664,13638
22140,29936,34100,13635
22236,30276,33812,13611
22172,30336,33580,13590
22880,30544,33436,13577
23892,30756,33292,13578
24776,30812,32972,13583
25532,31088,32696,13589
26412,31244,32692,13595
26572,31176,32848,13602
26328,31088,32880,13605
25028,30904,33588,13611
24548,31276,34012,13616
23204,31128,34420,13625
23764,30800,35204,13630
24908,31448,35944,13639
23980,31200,36216,13648
22592,31076,35408,13643
21544,32088,36328,13623
23008,30584,36932,13608
24408,29888,36812,13601
25116,29748,36592,13606
25176,29776,36228,13621
25548,30196,35856,13633
25816,30252,35736,13639
24860,29780,35664,13648
23236,29624,35364,13657
22608,30052,35328,13668
21276,29828,35528,13680
20492,29956,35116,13694
20252,30572,34524,13698
20780,30600,34272,13690
21332,30980,34172,13668
22412,30880,33960,13650
23064,30808,33804,13646
24048,31132,33332,13647
25992,31744,32772,13647
27804,32108,32676,13646
28276,31512,33212,13654
28336,31352,33120,13662
27376,30868,33308,13675
26828,30928,33604,13682
24960,30600,34100,13686
22552,30676,34708,13691
19648,29904,36120,13690
20236,30804,36292,13690
22256,30960,35424,13674
22296,30144,35484,13651
22080,28952,35636,13637
23188,29164,35224,13624
24548,29740,35360,13623
25532,29872,35412,13633
25664,30292,35368,13644
25948,29860,35116,13653
25944,29544,35196,13661
25272,29000,35212,13669
24108,29828,35560,13682
22904,30200,35440,13692
20844,30160,35816,13702
20464,30340,35472,13713
21312,30192,34700,13707
20568,30912,34732,13688
21492,30608,34452,13676
21860,30788,34428,13666
23320,30832,33776,13673
25032,30948,33308,13679
26672,31268,33120,13685
28040,31620,32936,13691
28368,31576,33104,13697
28020,31084,33464,13706
27216,31124,33316,13717
26256,30652,33788,13726
24928,30220,34292,13732
21892,30160,34956,13736
19484,30220,35016,13728
19636,30340,36292,13713
22084,30684,35920,13703
22692,30320,34532,13699
21532,29388,35340,13696
22912,29028,34904,13691
24704,29432,35124,13693
25860,29580,35084,13702
26144,29640,34912,13713
26444,29644,34740,13724
26420,29472,34936,13735
25560,29276,35096,13747
23400,29132,35424,13758
22296,29708,35572,13769
20868,30068,35896,13781
20676,30540,35544,13786
21080,30576,35116,13779
20168,30244,34756,13763
19644,30364,34588,13751
21308,30600,34396,13745
23048,30804,34020,13749
24296,31156,33460,13753
25524,31580,33176,13756
26996,32128,32936,13756
28560,32468,32672,13757
28608,31924,33220,13768
28428,31144,33336,13780
27156,30812,33564,13790
25580,30444,34152,13799
22864,30088,34776,13796
20552,29748,35220,13778
19684,29332,37280,13758
20668,30560,36776,13745
23008,31952,34996,13751
22220,31076,35608,13758
22252,29312,34872,13762
23620,29268,34344,13762
24896,28908,34460,13763
25980,29564,34300,13764
26388,29888,34324,13764
26600,29808,34408,13769
26220,29340,34724,13776
24836,29020,35324,13781
23928,29616,35840,13790
23236,30044,36044,13781
21956,29764,36244,13763
21396,30076,36004,13738
21248,30412,35352,13716
20920,30664,35284,13700
20932,30604,35224,13696
21948,30948,34520,13688
23244,31212,33948,13680
24520,31120,33704,13667
25932,31252,33364,13656
27208,31552,33064,13648
28400,31868,32956,13644
28588,31376,33460,13647
27212,30816,33904,13646
26044,31152,33916,13620
24720,30968,34188,13580
22708,30752,34832,13541
21588,30644,34680,13503
20336,30204,35684,13480
21136,30420,35488,13462
22348,30568,34868,13451
23012,29768,35080,13440
22784,29596,35112,13429
23428,29036,34956,13415
24756,29240,34960,13408
25488,29380,34984,13406
25760,29536,34840,13407
26212,29460,34860,13398
25956,29116,35224,13364
24224,29064,35632,13314
23372,30044,35540,13270
23408,30412,35620,13238
21464,29892,36244,13214
21520,29872,35744,13193
21148,30588,35284,13170
20644,31132,34900,13147
21024,30964,34504,13123
21564,30804,34344,13103
23412,31052,33616,13084
25624,31696,33032,13071
27464,32440,32652,13069
