accX,accY,accZ
825,-516,1088
822,-515,1090
822,-514,1093
822,-514,1093
822,-513,1090
820,-512,1090
820,-512,1090
820,-516,1090
820,-516,1090
821,-515,1091
823,-515,1090
823,-516,1087
823,-516,1087
823,-516,1087
823,-516,1089
825,-514,1090
825,-515,1093
827,-513,1094
827,-514,1094
827,-514,1092
827,-514,1092
827,-515,1095
827,-515,1095
829,-515,1095
828,-515,1094
828,-515,1094
822,-502,1081
821,-506,1083
823,-508,1085
822,-511,1083
824,-510,1083
825,-511,1081
825,-511,1081
824,-513,1080
824,-514,1082
824,-514,1082
825,-512,1079
827,-512,1080
826,-514,1084
826,-514,1084
828,-514,1084
829,-514,1088
829,-514,1088
829,-512,1087
825,-513,1086
828,-512,1087
830,-512,1088
829,-515,1087
827,-516,1088
827,-516,1088
825,-513,1090
826,-512,1087
827,-512,1085
825,-514,1085
826,-515,1086
825,-517,1087
825,-517,1087
826,-515,1083
825,-515,1083
826,-515,1083
824,-516,1086
824,-516,1086
823,-517,1086
823,-517,1086
824,-516,1085
826,-516,1083
827,-516,1085
828,-514,1086
828,-514,1086
824,-515,1082
826,-513,1084
826,-513,1084
830,-513,1085
831,-515,1086
828,-528,1086
828,-528,1086
815,-545,1073
799,-546,997
805,-570,992
808,-677,964
838,-743,981
274,-329,1030
161,-258,1062
-37,-160,291
-24,-167,227
-22,-166,82
-18,-168,66
-18,-168,66
-22,-162,21
-25,-162,13
-25,-162,13
-24,-162,8
-24,-162,9
-22,-164,8
-24,-163,9
-24,-161,12
-24,-161,9
-24,-162,9
-24,-162,11
-24,-162,11
-24,-162,12
-24,-162,10
-24,-162,13
-24,-162,16
-24,-161,15
-25,-162,13
-25,-164,12
-25,-163,13
-25,-163,17
-25,-163,17
-25,-161,11
-25,-164,13
-25,-161,13
-26,-161,13
-25,-162,14
-25,-162,15
-25,-163,9
-25,-163,9
-25,-162,12
-24,-162,11
-23,-165,14
-24,-164,15
-24,-163,17
-24,-163,16
-24,-162,14
-24,-161,12
-25,-160,15
-25,-161,12
-25,-162,14
-25,-163,17
-25,-162,11
-25,-162,11
-25,-162,8
-25,-161,11
-24,-161,12
-24,-162,12
-25,-163,12
-25,-163,10
-24,-162,17
-24,-162,16
-24,-161,15
-24,-161,15
-24,-161,16
-24,-161,14
-24,-161,13
-24,-161,13
-25,-163,14
-25,-162,13
