accX,accY,accZ,gyroX,gyroY,gyroZ
-1.625,-0.352783203125,-0.4677734375,-333.251953125,-246.52099609375,291.19873046875
-1.19873046875,-0.855712890625,-0.90478515625,-60.05859375,-285.888671875,435.05859375
-0.7841796875,-1.30712890625,-0.973388671875,127.9296875,-260.8642578125,548.03466796875
-0.470947265625,-1.1279296875,-0.694580078125,240.1123046875,-191.650390625,617.7978515625
-1.202392578125,-1.020751953125,-0.264892578125,138.427734375,-101.50146484375,615.29541015625
-2.100830078125,-2.866943359375,0.8193359375,28.13720703125,-85.38818359375,598.08349609375
-2.39990234375,-3.67333984375,-0.756103515625,244.7509765625,-97.47314453125,543.5791015625
-2.42822265625,-4.24072265625,-1.307373046875,403.86962890625,-50.537109375,383.7890625
-2.373291015625,-3.218017578125,-0.390380859375,471.5576171875,-5.06591796875,157.16552734375
-2.09521484375,-1.497802734375,0.361328125,441.89453125,-1.708984375,-40.8935546875
-1.723388671875,-1.28125,0.7587890625,207.03125,-45.7763671875,-196.35009765625
-1.513916015625,-2.1318359375,0.458984375,32.65380859375,-94.8486328125,-302.18505859375
-1.393310546875,-2.50634765625,-0.113525390625,73.6083984375,-122.9248046875,-365.53955078125
-1.541259765625,-2.182861328125,-0.37890625,228.1494140625,-137.87841796875,-402.52685546875
-1.656005859375,-1.4228515625,-0.20068359375,394.34814453125,-173.583984375,-409.97314453125
-1.592041015625,-0.61865234375,-0.148193359375,486.87744140625,-234.43603515625,-394.4091796875
-1.255126953125,-0.222900390625,-0.549072265625,504.8828125,-303.8330078125,-358.82568359375
-0.918701171875,-0.016357421875,-1.08642578125,493.408203125,-346.3134765625,-301.94091796875
-0.596435546875,0.529052734375,-1.510986328125,500.06103515625,-328.4912109375,-216.36962890625
-0.18359375,1.13330078125,-1.63671875,446.044921875,-258.72802734375,-135.31494140625
0.05419921875,0.791259765625,-1.4599609375,288.2080078125,-158.8134765625,-80.9326171875
-0.3349609375,0.476318359375,-1.67578125,116.63818359375,-13.36669921875,-44.00634765625
-0.526123046875,0.500244140625,-1.527099609375,-21.42333984375,131.34765625,-15.80810546875
-0.522216796875,0.4638671875,-0.989013671875,-61.70654296875,252.25830078125,31.6162109375
-0.72216796875,0.541259765625,-0.84765625,-80.2001953125,358.5205078125,75.1953125
-0.98583984375,0.12060546875,-0.48876953125,-98.32763671875,414.61181640625,111.572265625
-1.238037109375,-0.1650390625,0.03759765625,-103.02734375,455.6884765625,136.41357421875
-1.470703125,0.095947265625,0.3623046875,-153.74755859375,487.73193359375,155.57861328125
-1.8251953125,0.359130859375,0.6572265625,-258.36181640625,494.2626953125,184.6923828125
-2.61767578125,-0.78369140625,1.144287109375,-277.28271484375,432.4951171875,232.48291015625
-2.84619140625,-2.4833984375,1.98974609375,-119.7509765625,354.8583984375,243.34716796875
-3.2568359375,-2.18310546875,2.7646484375,175.537109375,297.7294921875,221.0693359375
-2.74951171875,-0.04345703125,2.205078125,270.08056640625,205.9326171875,142.51708984375
-2.562744140625,0.356201171875,1.494873046875,46.2646484375,50.048828125,42.96875
-2.172607421875,-1.078857421875,1.850830078125,-215.27099609375,-119.140625,-73.2421875
-1.63720703125,-1.8173828125,1.924560546875,-194.580078125,-208.43505859375,-152.03857421875
-1.665771484375,-1.190185546875,1.587646484375,8.11767578125,-223.2666015625,-164.4287109375
-1.791748046875,-0.50341796875,1.031494140625,69.82421875,-254.33349609375,-176.3916015625
-1.578369140625,-0.521240234375,0.783203125,10.68115234375,-311.09619140625,-206.97021484375
-1.459716796875,-0.609375,0.927001953125,-25.7568359375,-341.49169921875,-234.375
-1.398681640625,-0.376953125,1.146484375,-20.81298828125,-365.17333984375,-244.32373046875
-1.36083984375,0.017333984375,1.173583984375,-16.05224609375,-399.169921875,-238.83056640625
-1.40869140625,0.021728515625,1.04443359375,-95.947265625,-448.486328125,-257.50732421875
-1.181640625,-0.24267578125,0.582275390625,-248.291015625,-507.75146484375,-332.51953125
-0.765380859375,-0.707763671875,-0.173828125,-317.81005859375,-514.0380859375,-433.4716796875
-0.73779296875,-0.611083984375,-0.441162109375,-235.4736328125,-440.5517578125,-496.88720703125
-1.153564453125,0.003173828125,-0.154541015625,-123.4130859375,-364.013671875,-508.85009765625
-1.212646484375,0.759521484375,-0.620361328125,-78.125,-315.24658203125,-479.91943359375
-0.55126953125,1.842041015625,-1.4609375,-107.48291015625,-243.896484375,-390.93017578125
-0.072265625,2.38330078125,-1.494140625,-209.8388671875,-146.91162109375,-234.4970703125
-0.623779296875,1.8896484375,-0.972900390625,-345.947265625,-58.10546875,-26.7333984375
-1.08251953125,1.1318359375,-0.45849609375,-357.23876953125,-23.25439453125,202.08740234375
-1.14599609375,0.45947265625,-0.247802734375,-252.74658203125,-44.73876953125,390.625
-1.213623046875,0.19482421875,-0.227294921875,-98.9990234375,-61.70654296875,530.57861328125
